instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,k (percent),lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_adp: ADP,specialized_adp: contingency set,specialized_adp: Solve Time
1730239455.635725,rsa,500,1730232154.345474,4.73246492985972,0.5,6,500,54008,False,0,x86_64,601002,1,66.10043295286596,0,35198,124.86038789153099,124.8578736782074,1.0,,66.36740327998996,0,35198,541.2180827446282,540.256424665451,1.0,,1,"['A(63,)']",15.01732811704278
1730242453.101268,rsa,500,1730232154.345474,4.743486973947896,0.5,6,500,55397,False,0,x86_64,631543,1,83.52374714054167,0,36063,128.2069070097059,128.20663595199585,1.0,,69.33816893957555,0,36063,69.39787567034364,69.39772129058838,1.0,,1,"['A(63,)']",0.4215374942868948
1730242867.438426,rsa,500,1730232154.345474,4.754509018036073,0.5,6,500,56821,False,0,x86_64,664362,1,73.52806417830288,0,36975,140.75829310156405,140.75814580917358,1.0,,73.05553328432143,0,36975,73.46037694625556,73.46022701263428,1.0,,1,"['A(63,)']",0.433095196262002
1730243294.839919,rsa,500,1730232154.345474,4.765531062124249,0.5,6,500,58281,False,0,x86_64,698106,1,76.72668949142098,0,37892,156.6977251842618,156.69756293296814,1.0,,76.08986364677548,0,37892,76.57293629832566,76.57277822494507,1.0,,1,"['A(63,)']",0.4405572135001421
1730243749.83985,rsa,500,1730232154.345474,4.776553106212425,0.5,6,500,59779,False,0,x86_64,732681,1,80.76175160892308,0,38807,165.21384346298873,165.21368861198425,1.0,,79.83939391747117,0,38807,81.28247606940567,81.28231954574585,1.0,,1,"['A(63,)']",0.4457771126180887
1730244229.549506,rsa,500,1730232154.345474,4.787575150300602,0.5,6,500,61316,False,0,x86_64,769390,1,83.80222590826452,0,39749,177.11808350495994,177.11792278289795,1.0,,84.38385323993862,0,39749,77.39525952190161,77.39497232437134,1.0,,1,"['A(63,)']",0.4487383048981428
1730244727.773077,rsa,500,1730232154.345474,4.798597194388778,0.5,6,500,62892,False,0,x86_64,808196,1,88.22604036703706,0,40729,190.86927497014403,190.86912035942078,1.0,,88.07350232824683,0,40729,82.19885349087417,82.19869041442871,1.0,,1,"['A(63,)']",0.4799223057925701
1730245256.616361,rsa,500,1730232154.345474,4.809619238476954,0.5,6,500,64508,False,0,x86_64,848079,1,91.94975316338241,0,41706,207.57937182113528,207.5791039466858,1.0,,92.22557150386274,0,41706,86.2963034864515,86.29602289199829,1.0,,1,"['A(63,)']",0.4816809147596359
1730245817.689076,rsa,500,1730232154.345474,4.820641282565131,0.5,6,500,66166,False,0,x86_64,890443,1,97.18524368107319,0,42723,222.20707504078746,222.2068076133728,1.0,,97.35490676946938,0,42723,92.24422117322683,92.2440595626831,1.0,,1,"['A(63,)']",0.4874600488692522
1730246413.691653,rsa,500,1730232154.345474,4.831663326653307,0.5,6,500,67867,False,0,x86_64,934169,1,101.39273746497929,0,43748,238.8390616159886,238.83891344070435,1.0,,100.30508913099766,0,43748,101.71817013248801,101.71788835525513,1.0,,1,"['A(63,)']",0.498967494815588
1730247046.451924,rsa,500,1730232154.345474,4.842685370741483,0.5,6,500,69612,False,0,x86_64,981005,1,105.21658091619611,0,44813,257.71709878370166,257.7169463634491,1.0,,106.74086606130004,0,44813,99.62254790775478,99.62239527702332,1.0,,1,"['A(63,)']",0.4990084767341614
1730247711.795364,rsa,500,1730232154.345474,4.8537074148296595,0.5,6,500,71401,False,0,x86_64,1028339,1,111.47485004551709,0,45877,278.6275996584445,278.62744545936584,1.0,,112.2103134598583,0,45877,102.36410098150373,102.36394357681274,1.0,,1,"['A(63,)']",0.5093098487704992
1730248416.936878,rsa,500,1730232154.345474,4.864729458917836,0.5,6,500,73236,False,0,x86_64,1079951,1,115.95093658566475,0,47007,296.3434784244746,296.3433265686035,1.0,,116.01877203211188,0,47007,107.61312756501138,107.61284494400024,1.0,,1,"['A(63,)']",0.5201759040355682
1730249156.601513,rsa,500,1730232154.345474,4.875751503006012,0.5,6,500,75119,False,0,x86_64,1134414,1,122.85673029534519,0,48151,319.4184062704444,319.418256521225,1.0,,120.8877924811095,0,48151,113.32642508670688,113.32626962661743,1.0,,1,"['A(63,)']",0.5525109320878983
1730249941.948961,rsa,500,1730232154.345474,4.886773547094188,0.5,6,500,77050,False,0,x86_64,1191868,1,127.44677819125354,0,49346,352.9318110626191,352.9316625595093,1.0,,128.76255665905774,0,49346,119.57574433647096,119.57558703422546,1.0,,1,"['A(63,)']",0.5506578534841537
1730250785.87081,rsa,500,1730232154.345474,4.897795591182365,0.5,6,500,79030,False,0,x86_64,1252576,1,135.12053495272994,0,50566,396.21134557947516,396.21119451522827,1.0,,135.28568865731359,0,50566,122.53685767948627,122.53670597076416,1.0,,1,"['A(63,)']",0.5782012175768614
1730251694.537643,rsa,500,1730232154.345474,4.908817635270541,0.5,6,500,81062,False,0,x86_64,1313823,1,140.56958113610744,0,51769,420.84524490870535,420.845098733902,1.0,,142.01668363064528,0,51769,126.25065343268216,126.25050139427185,1.0,,1,"['A(63,)']",0.5710866115987301
1730252649.369322,rsa,500,1730232154.345474,4.919839679358717,0.5,6,500,83145,False,0,x86_64,1379355,1,148.8711871560663,0,53031,444.2588865123689,444.25873827934265,1.0,,149.92750827409327,0,53031,135.96701624803245,135.96686172485352,1.0,,1,"['A(63,)']",0.5901862028986216
1730253660.965491,rsa,500,1730232154.345474,4.930861723446894,0.5,6,500,85282,False,0,x86_64,1448575,1,154.0793774742633,0,54330,471.8203900177032,471.8202407360077,1.0,,156.54924944601953,0,54330,142.47381829097867,142.47366499900818,1.0,,1,"['A(63,)']",0.6082108244299889
1730254727.571273,rsa,500,1730232154.345474,4.94188376753507,0.5,6,500,87474,False,0,x86_64,1519998,1,164.93662437424064,0,55637,483.5681019537151,483.56795477867126,1.0,,163.02407666295767,0,55637,148.91662002168596,148.91645765304565,1.0,,1,"['A(63,)']",0.6011488437652588
1730255834.690202,rsa,500,1730232154.345474,4.952905811623247,0.5,6,500,89723,False,0,x86_64,1593436,1,172.51840938813984,0,56947,495.2005474921316,495.2003843784332,1.0,,170.39864041656256,0,56947,152.68225065991282,152.68205785751343,1.0,,1,"['A(63,)']",0.645324882119894
1730256979.431007,rsa,500,1730232154.345474,4.9639278557114235,0.5,6,500,92029,False,0,x86_64,1674241,1,179.56220148317516,0,58365,673.419151570648,673.4189991950989,1.0,,180.36593996547163,0,58365,164.89423524402082,164.89408135414124,1.0,,1,"['A(63,)']",0.6580336466431618
1730258338.748082,rsa,500,1730232154.345474,4.9749498997996,0.5,6,500,94395,False,0,x86_64,1755663,1,188.73601241223514,0,59757,468.63908512331545,468.63893032073975,1.0,,189.32211605086923,0,59757,171.51744567230344,171.5172836780548,1.0,,1,"['A(63,)']",0.6565486211329699
1730259527.554671,rsa,500,1730232154.345474,4.985971943887776,0.5,6,500,96821,False,0,x86_64,1841533,1,198.007090754807,0,61184,762.8055313508958,762.8053793907166,1.0,,197.7641164958477,0,61184,181.01200952753425,181.01185202598572,1.0,,1,"['A(63,)']",0.6942171473056078
1730261044.972031,rsa,500,1730232154.345474,4.996993987975952,0.5,6,500,99310,False,0,x86_64,1931544,1,206.47930430434644,0,62647,392.22322336025536,392.2230775356293,1.0,,206.96255785785615,0,62647,186.74933499842882,186.7491738796234,1.0,,1,"['A(63,)']",0.6798987686634064
1730262222.019242,rsa,500,1730232154.345474,5.008016032064129,0.5,6,500,101862,False,0,x86_64,2023895,1,216.69429503194988,0,64118,364.97254766337574,364.972384929657,1.0,,216.759577088058,0,64118,220.40191055089235,220.40176367759705,1.0,,1,"['A(63,)']",0.7141441572457552
1730263434.078937,rsa,500,1730232154.345474,5.019038076152305,0.5,6,500,104481,False,0,x86_64,2123122,1,228.585333250463,0,65659,950.0819090921432,950.0817365646362,1.0,,229.04575296863914,0,65659,228.76328344643116,228.7631163597107,1.0,,1,"['A(63,)']",0.7803647648543119
1730265274.979955,rsa,500,1730232154.345474,5.030060120240481,0.5,6,500,107166,False,0,x86_64,2225720,1,239.6372504029423,0,67217,292.3944718707353,292.3942732810974,1.0,,237.48339783027768,0,67217,234.91571093909442,234.91556930541992,1.0,,1,"['A(63,)']",0.7633493486791849
1730266493.963998,rsa,500,1730232154.345474,5.041082164328658,0.5,6,500,109921,False,0,x86_64,2330389,1,251.0518222656101,0,68773,276.0389406196773,276.03873658180237,1.0,,248.4460264109075,0,68773,236.39199712872505,236.39182114601135,1.0,,1,"['A(63,)']",0.7803121972829103
1730267731.010473,rsa,500,1730232154.345474,5.052104208416834,0.5,6,500,112746,False,0,x86_64,2441661,1,261.17374005913734,0,70378,249.6973061785102,249.69713187217712,1.0,,256.59657922014594,0,70378,291.17963238991797,291.1794545650482,1.0,,1,"['A(63,)']",0.8196774981915951
1730269026.401633,rsa,500,1730232154.345474,5.06312625250501,0.5,6,500,115644,False,0,x86_64,2561900,1,274.0598160047084,0,72082,241.05231078341603,241.05212879180908,1.0,,275.32912279106677,0,72082,269.4900110773742,269.4898386001587,1.0,,1,"['A(63,)']",0.8252242244780064
1730270329.391963,rsa,500,1730232154.345474,5.074148296593187,0.5,6,500,118617,False,0,x86_64,2684608,1,288.2817118912935,0,73776,247.68692880496383,247.68675351142883,1.0,,286.7906950842589,0,73776,334.06220736913383,334.0620002746582,1.0,,1,"['A(63,)']",0.8797315079718828
1730271750.144962,rsa,500,1730232154.345474,5.085170340681363,0.5,6,500,121666,False,0,x86_64,2811102,1,297.82055702246726,0,75480,231.4990919753909,231.49890398979187,1.0,,300.9864955600351,0,75480,293.7065584566444,293.7064006328583,1.0,,1,"['A(63,)']",0.9540315568447113
1730273143.127205,rsa,500,1730232154.345474,5.096192384769539,0.5,6,500,124793,False,0,x86_64,2944398,1,316.86999464035034,0,77240,281.2843754719943,281.28416419029236,1.0,,319.35952423512936,0,77240,336.0619996599853,336.0618109703064,1.0,,1,"['A(63,)']",0.991451608017087
1730274705.973003,rsa,500,1730232154.345474,5.1072144288577155,0.5,6,500,128001,False,0,x86_64,3088994,1,331.28445994853973,0,79099,248.44130386598408,248.44111227989197,1.0,,331.69667131081223,0,79099,374.2942670546472,374.2940649986267,1.0,,1,"['A(63,)']",1.0515176560729742
1730276295.428215,rsa,500,1730232154.345474,5.118236472945892,0.5,6,500,131291,False,0,x86_64,3231268,1,349.98652154766023,0,80882,1833.1809368915856,1833.1807255744934,1.0,,348.24381410330534,0,80882,425.5472167469561,425.5470039844513,1.0,,1,"['A(63,)']",1.0221119094640017
1730279597.783516,rsa,500,1730232154.345474,5.129258517034068,0.5,6,500,134666,False,0,x86_64,3383350,1,365.83340854384005,0,82755,1908.3138656839728,1908.3136520385742,1.0,,362.5259900931269,0,82755,442.40372614748776,442.39962673187256,1.0,,1,"['A(63,)']",1.3318772800266743
1730283040.786478,rsa,500,1730232154.345474,5.140280561122244,0.5,6,500,138127,False,0,x86_64,3540995,1,382.3692011386156,0,84641,2101.3773828130215,2101.377188682556,1.0,,381.64799414016306,0,84641,433.2784628700465,433.27674293518066,1.0,,1,"['A(63,)']",1.1864008959382772
1730286729.893092,rsa,500,1730232154.345474,5.151302605210421,0.5,6,500,141678,False,0,x86_64,3708912,1,406.83835400640965,0,86617,2377.815705411136,2377.7973334789276,1.0,,426.7645114120096,0,86617,426.42792318575084,426.4276943206787,1.0,,1,"['A(63,)']",1.1196021810173988
1730290826.215572,rsa,500,1730232154.345474,5.162324649298597,0.5,6,500,145319,False,0,x86_64,3880824,1,422.87287764810026,0,88592,556.4664411600679,556.4642918109894,1.0,,1329.4317944739014,0,88592,440.30450249649584,440.28661608695984,1.0,,1,"['A(63,)']",2.487084373831749
1730294180.901275,rsa,500,1730232154.345474,5.173346693386774,0.5,6,500,149055,False,0,x86_64,4066891,1,452.1755635179579,0,90679,374.0690148733556,374.06880378723145,1.0,,436.53009371086955,0,90679,880.7627068962902,880.558543920517,1.0,,1,"['A(63,)']",13.124467523768544
1730297410.031124,rsa,500,1730232154.345474,5.1843687374749505,0.5,6,500,152886,False,0,x86_64,4251769,1,462.6773078907281,0,92715,2667.6196578256786,2667.6194529533386,1.0,,456.3191676698625,0,92715,466.1665344685316,466.166339635849,1.0,,1,"['A(63,)']",1.3180885761976242
1730301881.655705,rsa,500,1730232154.345474,5.195390781563127,0.5,6,500,156816,False,0,x86_64,4451283,1,480.7751651648432,0,94855,-1,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl,474.26099786534905,0,94855,-1,-1,-1,[Errno 28] No space left on device: '/tmp/312cfa22126549f396622b485c7f3400-pulp.lp',1,"['A(63,)']",1.230185180902481
1730303576.71786,rsa,500,1730232154.345474,5.206412825651303,0.5,6,500,160846,False,0,x86_64,4659406,1,498.48475198447704,0,97034,-1,-1,-1,-1,[Errno 28] No space left on device: '/tmp/42dbc1f1a8d148c5b0b470cba79e9b34-pulp.lp',499.8744068723172,0,97034,-1,-1,-1,[Errno 28] No space left on device: '/tmp/a95ebe3df94640b59301ba04d093b71d-pulp.lp',1,"['A(63,)']",1.4710952360183
1730305037.390513,rsa,500,1730232154.345474,5.2174348697394795,0.5,6,500,164981,False,0,x86_64,4879863,1,519.722112448886,0,99287,-1,-1,-1,-1,[Errno 28] No space left on device: '/tmp/752ccd548b4c4583a100f70695725c63-pulp.lp',523.5225903596729,0,99287,-1,-1,-1,[Errno 28] No space left on device,1,"['A(63,)']",1.3308862671256065
