instance timestamp,run id,airline,processor,number_of_witnesses,kpres,kdel,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_60: witness_computation_time,ilp_results_60: number_of_witnesses,ilp_results_60: number_of_tuples,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: GDP,ilp_results_60: error
1730393213.880022,1730393212.754263,9E,x86_64,"[490, 11042]","[2, 0]",29,3.405997347086668,13004,611,15.965100058005191,15.723724842071533,72.0,,3.3887543990276754,13004,611,9.907069504028186,9.906869411468506,72.0,,3.378414907027036,13004,611,8.764812639099546,8.764624834060669,72.0,
1730393263.976493,1730393212.754263,AA,x86_64,"[724, 22885]","[2, 0]",43,5.904208107967861,25783,826,24.672514498932287,24.67232656478882,82.0,,5.948758375947364,25783,826,19.975083885947242,19.97486162185669,82.0,,5.934852420003153,25783,826,18.52114500699099,18.520959615707397,82.0,
1730393354.188268,1730393212.754263,MQ,x86_64,"[421, 12292]","[2, 0]",25,3.4747642290312797,13978,555,4.490130590973422,4.489920377731323,46.0,,3.5284619430312887,13978,555,7.479599072015844,7.479395627975464,46.0,,3.482205590000376,13978,555,7.340876568923704,7.340686321258545,46.0,
1730393389.737108,1730393212.754263,G4,x86_64,"[616, 14298]","[2, 0]",36,4.104401055024937,16764,736,11.648365242988802,11.648198127746582,34.0,,4.053038935060613,16764,736,9.777224552002735,9.777044534683228,34.0,,4.123227174044587,16764,736,10.07457267108839,10.074389219284058,34.0,
1730393439.601523,1730393212.754263,OH,x86_64,"[327, 10399]","[2, 0]",19,2.9878467810340226,11709,422,3.9772132970392704,3.9770419597625732,20.4897959183674,,3.0209228850435466,11709,422,9.589160135947168,9.588985204696655,24.0,,2.999540784046985,11709,422,8.789971182006411,8.789799928665161,24.0,
1730393475.86834,1730393212.754263,NK,x86_64,"[368, 5707]","[2, 0]",22,2.129080318962224,7181,411,1.6479859889950603,1.6478095054626465,,,2.245708169066347,7181,411,1.611219406942837,1.6110429763793945,,,2.25014048605226,7181,411,1.398481028038077,1.3982954025268555,,
1730393490.179282,1730393212.754263,OO,x86_64,"[1362, 42863]","[2, 0]",81,10.40427774505224,48313,1602,53.56994785298593,53.56976914405823,158.0,,10.423348085954785,48313,1602,71.37148024595808,71.37130618095398,158.0,,10.438206654973328,48313,1602,69.26812306104694,69.26795721054077,264.0,
1730393733.590229,1730393212.754263,DL,x86_64,"[836, 32864]","[2, 1]",50,7.886108492966741,36211,981,7.633710635011084,7.633473873138428,,,7.826600776985288,36211,981,6.347865129006095,6.347677707672119,,,7.855089778080583,36211,981,6.222256891080178,6.222034931182861,,
1730393790.409662,1730393212.754263,YV,x86_64,"[337, 8550]","[2, 1]",20,2.6583399700466543,9901,440,2.328528296900913,2.3283684253692627,,,2.712840177002363,9901,440,1.680315179983154,1.6801526546478271,,,2.6882719070417807,9901,440,2.4228528910316527,2.4226596355438232,,
1730393809.178614,1730393212.754263,EV,x86_64,"[374, 8996]","[2, 0]",22,2.73157078307122,10494,476,3.2818762939423323,3.281686782836914,52.27499999999987,,2.797254279954359,10494,476,11.861412782920524,11.8612380027771,57.0,,2.7995934810023755,10494,476,11.056032352964394,11.055825233459473,57.0,
1730393848.039749,1730393212.754263,YX,x86_64,"[664, 14053]","[2, 0]",39,4.0801773889688775,16711,751,26.3839363490697,26.383732795715332,73.0,,4.121996663976461,16711,751,20.17017212207429,20.170007467269897,73.0,,4.036247472977266,16711,751,19.705534097040072,19.705355644226074,73.0,
1730393932.383748,1730393212.754263,UA,x86_64,"[719, 23137]","[2, 0]",43,5.8675447220448405,26015,827,25.42075061693322,25.420539617538452,78.5,,5.849020304973237,26015,827,21.240309809916653,21.24011254310608,79.0,,5.92460247699637,26015,827,19.552534965914674,19.552361249923706,79.0,
1730394025.450539,1730393212.754263,WN,x86_64,"[1380, 43600]","[2, 0]",82,10.605562389013357,49122,1465,101.77355379611254,101.77336645126343,159.99999999999918,,10.496030849055387,49122,1465,66.91080624097958,66.91063904762268,160.0,,10.539296425064094,49122,1465,65.40403969609179,65.40386438369751,160.0,
1730394306.455437,1730393212.754263,B6,x86_64,"[364, 7302]","[2, 0]",21,2.3633369239978492,8760,432,1.5691963119897991,1.569025993347168,,,2.474704821011983,8760,432,1.8343919169856235,1.834216594696045,,,2.489188243052922,8760,432,1.4737261079717427,1.4735372066497803,,
1730394322.00979,1730393212.754263,AS,x86_64,"[328, 5897]","[2, 0]",19,2.1379415349802002,7211,398,5.6438419569749385,5.643661022186279,30.0,,2.121692650951445,7211,398,3.13645287102554,3.1362879276275635,30.0,,2.159341276041232,7211,398,3.2474522829288617,3.247283697128296,30.0,
1730394343.368923,1730393212.754263,F9,x86_64,"[524, 11657]","[2, 0]",31,3.4618178190430626,13755,614,19.222090559080243,19.221925735473633,36.0,,3.4911556019214913,13755,614,11.326521966024302,11.326339483261108,36.0,,3.4421510790707543,13755,614,10.82886199990753,10.828646898269653,36.0,
1730394400.249475,1730393212.754263,HA,x86_64,"[64, 524]","[2, 1]",3,0.7558226750697941,783,82,0.2743435719748959,0.27414774894714355,,,0.7914969889679924,783,82,0.1859340419759974,0.18575263023376465,,,0.7935878389980644,783,82,0.30913963995408267,0.30895352363586426,,
1730402961.970928,1730402960.866026,9E,x86_64,"[490, 11042]","[2, 0]",29,3.349061891436577,13004,611,15.830521703697741,15.83038592338562,72.0,,3.3251026729121804,13004,611,7.141719264909625,7.141586065292358,72.0,,3.3365965001285076,13004,611,7.304771861992776,7.304633140563965,72.0,
1730402966.629709,1730402965.617567,9E,x86_64,"[490, 11042]","[2, 0]",29,3.2926188595592976,13004,611,15.630227459594607,15.630106687545776,72.0,,3.2311628237366676,13004,611,7.244067680090666,7.243945360183716,72.0,,3.3276172429323196,13004,611,7.184392871335149,7.184268236160278,72.0,
1730403011.559699,1730402965.617567,AA,x86_64,"[724, 22885]","[2, 0]",43,5.74808500520885,25783,826,20.75045191310346,20.750328540802002,82.0,,5.660678083077073,25783,826,13.909785699099302,13.909671783447266,82.0,,5.648526357486844,25783,826,14.181271823123097,14.181159973144531,82.0,
1730403007.420789,1730402960.866026,AA,x86_64,"[724, 22885]","[2, 0]",43,5.794140361249447,25783,826,22.026314771734178,22.02618145942688,82.0,,5.847553551197052,25783,826,16.69997406937182,16.699827909469604,82.0,,5.76646133325994,25783,826,16.359570688568056,16.359402179718018,82.0,
1730403085.893728,1730402965.617567,MQ,x86_64,"[421, 12292]","[2, 0]",25,3.3488670475780964,13978,555,2.901048833504319,2.9009296894073486,46.0,,3.3738861177116632,13978,555,5.21015440672636,5.210039377212524,46.0,,3.3567584212869406,13978,555,4.721420630812645,4.72130560874939,46.0,
1730403088.897686,1730402960.866026,MQ,x86_64,"[421, 12292]","[2, 0]",25,3.4437352223321795,13978,555,3.5070255771279335,3.5069122314453125,46.0,,3.4431403456255794,13978,555,5.37996859382838,5.379847526550293,46.0,,3.4438212951645255,13978,555,5.273685477674007,5.273570537567139,46.0,
1730403114.147997,1730402965.617567,G4,x86_64,"[616, 14298]","[2, 0]",36,3.9402351416647434,16764,736,10.634224455803633,10.634110689163208,34.0,,4.035051202401519,16764,736,8.553930722177029,8.553796529769897,34.0,,3.978126309812069,16764,736,8.457888260483742,8.457602262496948,34.0,
1730403118.942777,1730402960.866026,G4,x86_64,"[616, 14298]","[2, 0]",36,4.078253725543618,16764,736,11.52942844107747,11.529306888580322,34.0,,4.051756689324975,16764,736,8.648018836043775,8.647867202758789,34.0,,4.056461809203029,16764,736,8.172190876677632,8.172047138214111,34.0,
1730403159.687074,1730402965.617567,OH,x86_64,"[327, 10399]","[2, 0]",19,2.9231269154697657,11709,422,2.131993219256401,2.1318750381469727,20.4897959183674,,2.961876280605793,11709,422,7.617356285452843,7.617221355438232,24.0,,2.9226895943284035,11709,422,7.665710110217333,7.665590524673462,24.0,
1730403165.669137,1730402960.866026,OH,x86_64,"[327, 10399]","[2, 0]",19,2.963661376386881,11709,422,2.3370918724685907,2.3369624614715576,20.4897959183674,,2.9795063147321343,11709,422,7.610753923654556,7.6106274127960205,24.0,,2.990304303355515,11709,422,6.861944595351815,6.861811399459839,24.0,
1730403190.445792,1730402965.617567,NK,x86_64,"[368, 5707]","[2, 0]",22,2.143352337181568,7181,411,0.9843892250210047,0.9842686653137207,,,2.0867806877940893,7181,411,0.864151256158948,0.8640387058258057,,,2.095193672925234,7181,411,0.8705490510910749,0.8704328536987305,,
1730403196.09207,1730402960.866026,NK,x86_64,"[368, 5707]","[2, 0]",22,2.171943847090006,7181,411,0.8347526034340262,0.8346340656280518,,,2.119746563024819,7181,411,0.9151654671877623,0.9150447845458984,,,2.1644054176285863,7181,411,0.8570952583104372,0.8569657802581787,,
1730403202.2154,1730402965.617567,OO,x86_64,"[1362, 42863]","[2, 0]",81,10.286479037255049,48313,1602,47.09539034590125,47.09526085853577,158.00000000000003,,10.41448481194675,48313,1602,58.58417875319719,58.58405256271362,158.0,,10.325579890981317,48313,1602,55.15105641819537,55.15090751647949,158.0,
1730403207.89512,1730402960.866026,OO,x86_64,"[1362, 42863]","[2, 0]",81,10.389472173526883,48313,1602,47.57298624981195,47.57286286354065,158.0,,10.353280774317682,48313,1602,56.40896777343005,56.408833503723145,158.0,,10.285284142941236,48313,1602,57.5863027786836,57.58617281913757,158.0,
1730403411.150659,1730402965.617567,DL,x86_64,"[836, 32864]","[2, 1]",50,7.739427916705608,36211,981,5.334965346381068,5.334825754165649,,,7.725848948583007,36211,981,5.34309471026063,5.342977523803711,,,7.773352853953838,36211,981,5.453820770606399,5.453702926635742,,
1730403417.673367,1730402960.866026,DL,x86_64,"[836, 32864]","[2, 1]",50,7.763991908170283,36211,981,5.18584390822798,5.185718774795532,,,7.7481056079268456,36211,981,5.326982348226011,5.326822280883789,,,7.763191546313465,36211,981,5.22428211197257,5.224157810211182,,
1730403463.174875,1730402965.617567,YV,x86_64,"[337, 8550]","[2, 1]",20,2.526481555774808,9901,440,1.5589151345193386,1.5587952136993408,,,2.6385418698191643,9901,440,1.4311046246439219,1.4309723377227783,,,2.622256411239505,9901,440,1.4808031879365444,1.4806835651397705,,
1730403469.46386,1730402960.866026,YV,x86_64,"[337, 8550]","[2, 1]",20,2.6426658090204,9901,440,1.5068257795646787,1.5066711902618408,,,2.6539403134956956,9901,440,1.392496744170785,1.3923497200012207,,,2.6633494729176164,9901,440,1.4723924165591598,1.4722652435302734,,
1730403479.323219,1730402965.617567,EV,x86_64,"[374, 8996]","[2, 0]",22,2.7720347438007593,10494,476,2.6528162844479084,2.6526875495910645,52.27499999999983,,2.7569778356701136,10494,476,8.233400383964181,8.233278274536133,57.0,,2.7140116449445486,10494,476,9.467636026442051,9.467517137527466,57.0,
1730403485.75285,1730402960.866026,EV,x86_64,"[374, 8996]","[2, 0]",22,2.718174509704113,10494,476,2.6943649239838123,2.6941943168640137,52.27499999999986,,2.7827518498525023,10494,476,9.338110705837607,9.337981462478638,57.0,,2.773878648877144,10494,476,9.388887763954699,9.388751983642578,57.0,
1730403512.039196,1730402965.617567,YX,x86_64,"[664, 14053]","[2, 0]",39,4.105241177603602,16711,751,22.64859283529222,22.648468732833862,73.0,,3.9968457892537117,16711,751,15.612737402319908,15.612624168395996,73.0,,3.976690087467432,16711,751,17.315075570717454,17.31495761871338,73.0,
1730403519.58221,1730402960.866026,YX,x86_64,"[664, 14053]","[2, 0]",39,4.066561175510287,16711,751,23.59917100239545,23.599022388458252,73.0,,4.10112099070102,16711,751,17.241891665384173,17.241769313812256,73.0,,4.109391785226762,16711,751,17.5054597761482,17.505327224731445,73.0,
1730403585.520144,1730402965.617567,UA,x86_64,"[719, 23137]","[2, 0]",43,5.829967735335231,26015,827,21.846618501469493,21.846503496170044,78.5,,5.848942359909415,26015,827,15.43672594614327,15.4365873336792,79.0,,5.727069225162268,26015,827,14.75897129625082,14.758858442306519,79.0,
1730403595.988569,1730402960.866026,UA,x86_64,"[719, 23137]","[2, 0]",43,5.7882581148296595,26015,827,22.78940459061414,22.78925395011902,78.5,,5.764612030237913,26015,827,14.756841724738479,14.75670075416565,79.0,,5.842799881473184,26015,827,15.046478091739118,15.046350955963135,79.0,
1730403663.814313,1730402965.617567,WN,x86_64,"[1380, 43600]","[2, 0]",82,10.464802278205752,49122,1465,74.1575144957751,74.15739846229553,160.00000000000182,,10.426926469430327,49122,1465,53.51753963343799,53.517420291900635,160.0,,10.244133099913597,49122,1465,54.46685081534088,54.46670746803284,160.0,
1730403892.092447,1730402965.617567,B6,x86_64,"[364, 7302]","[2, 0]",21,2.3954133968800306,8760,432,1.2771849520504475,1.277045488357544,,,2.431774765253067,8760,432,1.2457660250365734,1.2456469535827637,,,2.4357468616217375,8760,432,1.311161119490862,1.3110418319702148,,
1730403674.966294,1730402960.866026,WN,x86_64,"[1380, 43600]","[2, 0]",82,10.489686472341418,49122,1465,80.02998794429004,80.02986264228821,160.0000000000017,,10.433513585478067,49122,1465,53.2823119899258,53.28217434883118,160.0,,10.47419549152255,49122,1465,51.66533628012985,51.6652045249939,160.0,
1730403906.562922,1730402960.866026,B6,x86_64,"[364, 7302]","[2, 0]",21,2.3827551109716296,8760,432,1.2533187242224813,1.253187894821167,,,2.4550174213945866,8760,432,1.082335352897644,1.082214117050171,,,2.3698035599663854,8760,432,1.2466536350548267,1.2465102672576904,,
1730403906.515421,1730402965.617567,AS,x86_64,"[328, 5897]","[2, 0]",19,2.1191582791507244,7211,398,5.085002798587084,5.0848894119262695,30.0,,2.0738503746688366,7211,398,2.2835079934448004,2.2833945751190186,30.0,,2.0683701876550913,7211,398,2.2847431916743517,2.2846221923828125,30.0,
1730403920.648867,1730402960.866026,AS,x86_64,"[328, 5897]","[2, 0]",19,2.1261997297406197,7211,398,4.470594079233706,4.4704718589782715,30.0,,2.162824989296496,7211,398,2.62816512119025,2.6280226707458496,30.0,,2.146642136387527,7211,398,2.318577273748815,2.3184585571289062,30.0,
1730403925.317535,1730402965.617567,F9,x86_64,"[524, 11657]","[2, 0]",31,3.374624913558364,13755,614,13.150001537054777,13.149886131286621,36.0,,3.404991939663887,13755,614,8.588997483253479,8.588877439498901,36.0,,3.4505919348448515,13755,614,8.386701319366693,8.386582136154175,36.0,
1730403970.710171,1730402965.617567,HA,x86_64,"[64, 524]","[2, 1]",3,0.7905700076371431,783,82,0.1614239104092121,0.16130661964416504,,,0.7450584247708321,783,82,0.1467483900487423,0.14660263061523438,,,0.7793180793523788,783,82,0.12576507963240147,0.12565040588378906,,
1730403939.438501,1730402960.866026,F9,x86_64,"[524, 11657]","[2, 0]",31,3.4358177790418267,13755,614,14.445701714605093,14.445534706115723,36.0,,3.472791242413223,13755,614,7.8171222526580095,7.816994905471802,36.0,,3.462565815076232,13755,614,8.278034237213433,8.277904510498047,36.0,
1730403985.508842,1730402960.866026,HA,x86_64,"[64, 524]","[2, 1]",3,0.7681858688592911,783,82,0.13312138337641954,0.13300848007202148,,,0.746107766404748,783,82,0.11744740791618824,0.11729931831359863,,,0.8336423244327307,783,82,0.12788371555507183,0.12775874137878418,,
